"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000125",0.113418727510503,0.101364765640554,0.126057046129641,"Alistipes"
"Otu000543",0.11339384582461,0.0922471254314405,0.138878469911086,"Lactobacillus"
"Otu000262",0.111970311378669,0.0974275352416184,0.138790584345779,"Rothia"
"Otu000244",0.111574459081047,0.099514027468976,0.13128872885854,"Lachnospiraceae"
"Otu000740",0.110580197445466,0.0903244412118232,0.128118638573614,"Alistipes"
"Otu000296",0.110481217764245,0.0905888633450067,0.131963804420734,"Lachnospiraceae"
"Otu000347",0.110300817355158,0.09408128073227,0.126066561743422,"Butyricicoccus"
"Otu001478",0.11012573070373,0.0961869745733336,0.129871570453149,"Lachnospiraceae"
"Otu000324",0.109289498230294,0.0877419073295624,0.133411178096778,"Coriobacteriaceae"
"Otu000287",0.109199372181548,0.0968098428574878,0.124908320251848,"Blautia"
"Otu000869",0.108915216987077,0.0809615827362779,0.136697233819003,"Clostridium IV"
"Otu000459",0.108705970422813,0.0695731908819034,0.16721926381945,"Bilophila"
"Otu000320",0.10699139620768,0.0902535530384834,0.118613554858178,"Lachnospiraceae"
"Otu001028",0.106472064693595,0.0843876442380197,0.141338222159789,"Clostridiales"
"Otu000908",0.106165340985506,0.0917949395093347,0.128958525919071,"Clostridium IV"
"Otu001520",0.105859543434829,0.0819155234556618,0.142216092700972,"Anaerotruncus"
"Otu001422",0.105538415794784,0.0836083129898488,0.124143896497794,"Clostridia"
"Otu000259",0.104992756667547,0.0914253645581565,0.117139890767876,"Bacteria"
"Otu000835",0.102979199257842,0.0769019725050765,0.127453088331738,"Ruminococcaceae"
"Otu000153",0.101884902078739,0.0857549279667458,0.114332572390111,"Clostridiales"
"Otu000943",0.101620868618488,0.0855494407630957,0.117257349068894,"Anaerostipes"
"Otu000616",0.101331206647207,0.0813633843045771,0.122143976376601,"Ruminococcaceae"
"Otu000621",0.101160360941651,0.0809373829821161,0.117540538964944,"Clostridiales"
"Otu000301",0.10108765009824,0.0856819934945697,0.11878104731467,"Porphyromonadaceae"
"Otu000214",0.100734232900429,0.0917190331407332,0.120081227993622,"Lachnospiraceae"
"Otu000098",0.100345148294287,0.0856022347761495,0.113835189659997,"Bifidobacterium"
"Otu000692",0.0996482492606575,0.0750812404629778,0.123705321395066,"Lachnospiraceae"
"Otu000447",0.099551211727576,0.0836899868275232,0.118823999309323,"Lachnospiraceae"
"Otu000017",0.0991555163178592,0.0883358142863202,0.107910963495335,"Alistipes"
"Otu000242",0.0991324742872362,0.0802222176332728,0.123519635340593,"Bacteria"
"Otu000267",0.0988347013481296,0.0894435566686316,0.111276848906751,"Barnesiella"
"Otu001095",0.0988050817323357,0.0811958738365241,0.115854756686174,"Clostridiales"
"Otu000620",0.0986345006504583,0.0815544938973852,0.115619955488443,"Clostridiales"
"Otu000079",0.0981402741460358,0.0733081373348688,0.134778220493921,"Ruminococcus"
"Otu000369",0.0967113383009782,0.0777049748362304,0.118141415476394,"Ruminococcus"
"Otu001222",0.0959790989963026,0.0821547201986432,0.106747437845639,"Lactonifactor"
"Otu000130",0.0957699358495648,0.085046128484913,0.113090677860035,"Barnesiella"
"Otu000081",0.0954311975299872,0.0794470060086775,0.117007095474032,"Faecalibacterium"
"Otu000547",0.09506416818066,0.073403520974675,0.131967625754496,"Blautia"
"Otu001203",0.0948080419167631,0.0688960413380547,0.121959590721243,"Rothia"
"Otu000723",0.0946862577958051,0.0707625504325891,0.112103821621575,"Clostridium XlVb"
"Otu000491",0.0941401867239772,0.0809317585456514,0.103442767222576,"Firmicutes"
"Otu000158",0.0937899675306209,0.0768713420535148,0.109195558967095,"Ruminococcaceae"
"Otu000925",0.0933022999200736,0.0703607237625178,0.115922508323553,"Clostridium XlVa"
"Otu000046",0.092803955661704,0.0784943544418034,0.106164627489303,"Subdoligranulum"
