"variables","variable","value"
"Otu000002","run_10",3.22141823179341
"Otu000009","run_10",3.65492937975391
"Otu000012","run_10",3.28005508819767
"Otu000018","run_10",3.34982356823987
"Otu000013","run_10",3.35241485728768
"Otu000041","run_10",3.10070046659271
"Otu000026","run_10",3.09769654727997
"Otu000036","run_10",3.26748076079116
"Otu000059","run_10",3.10989542172346
"Otu000003","run_10",3.37805409959349
"Otu000020","run_10",3.34932477097867
"Otu000010","run_10",3.73328771772039
"Otu000007","run_10",3.21680818563853
"Otu000085","run_10",3.26213733640842
"Otu000290","run_10",3.11985879095438
"Otu000040","run_10",3.15522385689003
"Otu000155","run_10",3.42416189310074
"Otu000021","run_10",3.20060245267077
"Otu000393","run_10",2.57388828701737
"Otu000634","run_10",2.07098141705804
"Otu000016","run_10",3.35888783487203
"Otu000109","run_10",3.10256772414375
"Otu000044","run_10",3.22014822187987
"Otu000148","run_10",2.96640611929076
"Otu000146","run_10",3.36106413850443
"Otu000083","run_10",2.97202380028058
"Otu000108","run_10",3.10284914548262
"Otu000084","run_10",3.09008386859517
"Otu000028","run_10",2.87566444810344
"Otu000180","run_10",2.87403113872485
"Otu000088","run_10",2.72460354365249
"Otu000025","run_10",2.63190313581032
"Otu000315","run_10",2.79833018596946
"Otu000167","run_10",2.57905105728693
"Otu000605","run_10",2.52825972723017
"Otu000196","run_10",2.47547131439074
"Otu000202","run_10",2.00423941704825
"Otu000348","run_10",1.69040891118122
"Otu000199","run_10",2.23245081658313
"Otu000140","run_10",2.11188741644384
"Otu002106","run_10",2.31306909693424
"Otu000654","run_10",1.54512760831427
"Otu000209","run_10",1.87041447364503
"Otu001307","run_10",1.89768446669959
"Otu000808","run_10",1.48096271683541
"Otu000061","run_11",4.58452178348618
"Otu000058","run_11",3.91131028356497
"Otu000006","run_11",3.73263046625937
"Otu000015","run_11",4.74075083517089
"Otu000005","run_11",3.61754390653624
"Otu000004","run_11",3.77642191176721
"Otu000037","run_11",3.59909972568009
"Otu000001","run_11",3.74389642808142
"Otu000014","run_11",3.65578131031467
"Otu000002","run_11",3.43481437628531
"Otu000009","run_11",3.64237908078088
"Otu000012","run_11",3.78702475932648
"Otu000018","run_11",3.30560598347795
"Otu000013","run_11",3.57800308422603
"Otu000041","run_11",3.16364491099315
"Otu000026","run_11",2.91905472439679
"Otu000036","run_11",2.92109827982348
"Otu000059","run_11",3.08196771442363
"Otu000003","run_11",3.48070599536625
"Otu000020","run_11",3.46674167454883
"Otu000010","run_11",3.28191480028765
"Otu000007","run_11",3.3364645066948
"Otu000085","run_11",3.03307897095018
"Otu000290","run_11",3.48002485696126
"Otu000040","run_11",3.47176659631973
"Otu000155","run_11",2.95379552763228
"Otu000021","run_11",3.17013407113413
"Otu000393","run_11",2.56243560905821
"Otu000634","run_11",1.8325856300565
"Otu000016","run_11",3.24426639527508
"Otu000109","run_11",3.10682119194508
"Otu000044","run_11",3.26147018088248
"Otu000148","run_11",2.83211663040947
"Otu000146","run_11",3.44092280882328
"Otu000083","run_11",2.79018830973836
"Otu000108","run_11",3.32769423482623
"Otu000084","run_11",3.0629124249608
"Otu000028","run_11",3.0056681073908
"Otu000180","run_11",2.89171434679058
"Otu000088","run_11",2.79213000468406
"Otu000025","run_11",2.84776268156413
"Otu000315","run_11",2.13241612149934
"Otu000167","run_11",2.47122192722209
"Otu000605","run_11",2.43018015874363
"Otu000196","run_11",2.42510767936263
"Otu000202","run_11",2.15564846530563
"Otu000348","run_11",1.85667250512706
"Otu000199","run_11",3.02128590982145
"Otu000140","run_11",2.07814324117016
"Otu002106","run_11",1.93378316221097
"Otu000654","run_11",1.81145030757768
"Otu000209","run_11",1.56720140049224
"Otu001307","run_11",1.38902668657043
"Otu000808","run_11",1.20672219342672
"Otu000061","run_12",3.78594706018672
"Otu000058","run_12",3.53477866159416
"Otu000006","run_12",4.0043622394347
"Otu000015","run_12",4.53787589558591
"Otu000005","run_12",3.91464716244711
"Otu000004","run_12",3.75402147711902
"Otu000037","run_12",3.57053516389763
"Otu000001","run_12",3.46191262592686
"Otu000014","run_12",3.36283428397297
"Otu000002","run_12",3.20777309655497
"Otu000009","run_12",3.38172628430898
"Otu000012","run_12",3.4897348319006
"Otu000018","run_12",3.73986878943604
"Otu000013","run_12",3.41155452369738
"Otu000041","run_12",3.18337599485501
"Otu000026","run_12",3.34619307782001
"Otu000036","run_12",3.3766659836609
"Otu000059","run_12",3.17898894844489
"Otu000003","run_12",3.46725987930793
"Otu000020","run_12",3.49691821965175
"Otu000010","run_12",3.46157328938277
"Otu000007","run_12",3.35457034825445
"Otu000085","run_12",2.91751188296901
"Otu000290","run_12",3.02447878658741
"Otu000040","run_12",3.24692076065303
"Otu000155","run_12",3.05510050306612
"Otu000021","run_12",3.03162575740505
"Otu000393","run_12",2.94123050418111
"Otu000634","run_12",2.65892599942679
"Otu000016","run_12",3.19285144122828
"Otu000109","run_12",3.23487820564154
"Otu000044","run_12",3.27652053304925
"Otu000148","run_12",3.00086189105841
"Otu000146","run_12",3.38715673983282
"Otu000083","run_12",2.93497373096957
"Otu000108","run_12",2.8366592988031
"Otu000084","run_12",3.40300510600348
"Otu000028","run_12",2.79235455592202
"Otu000180","run_12",3.10517757715681
"Otu000088","run_12",2.82494341444289
"Otu000025","run_12",2.81865729630076
"Otu000315","run_12",2.61759625588032
"Otu000167","run_12",2.37016510060691
"Otu000605","run_12",2.46813102370744
"Otu000196","run_12",2.42222805806603
"Otu000202","run_12",2.28400978269002
"Otu000348","run_12",1.44693541445327
"Otu000199","run_12",2.05048430524048
"Otu000140","run_12",2.32529017567508
"Otu002106","run_12",2.27903155061232
"Otu000654","run_12",1.69276106606426
"Otu000209","run_12",1.605405828907
"Otu001307","run_12",1.5400736599103
"Otu000808","run_12",1.6066248331982
"Otu000061","run_13",3.95532005677469
"Otu000058","run_13",3.05279759244413
"Otu000006","run_13",3.92005646365232
"Otu000015","run_13",4.20305480533069
"Otu000005","run_13",3.72729105427414
"Otu000004","run_13",3.58911685312858
"Otu000037","run_13",3.22799209459812
"Otu000001","run_13",3.68382333555285
"Otu000014","run_13",3.44696349828292
"Otu000002","run_13",3.56697760521799
"Otu000009","run_13",3.29506048602327
"Otu000012","run_13",3.70320299558937
"Otu000018","run_13",3.58811565124417
"Otu000013","run_13",3.45070950350287
"Otu000041","run_13",3.26662255490403
"Otu000026","run_13",3.26187619265682
"Otu000036","run_13",2.85404182172762
"Otu000059","run_13",3.2257320060407
"Otu000003","run_13",3.56828896568519
"Otu000020","run_13",3.24784751241803
"Otu000010","run_13",3.48485675478222
"Otu000007","run_13",3.47108826866159
"Otu000085","run_13",3.24461488260339
"Otu000290","run_13",3.39500575750685
"Otu000040","run_13",3.19920083243607
"Otu000155","run_13",3.52845536124758
"Otu000021","run_13",3.23513677299134
"Otu000393","run_13",2.76382621807122
"Otu000634","run_13",2.03140386126678
"Otu000016","run_13",3.13650939332752
"Otu000109","run_13",2.94932204735161
"Otu000044","run_13",3.13306544789466
"Otu000148","run_13",2.97945798012385
"Otu000146","run_13",3.0452198457171
"Otu000083","run_13",2.95512016444673
"Otu000108","run_13",3.15274364114327
"Otu000084","run_13",3.37777425742205
"Otu000028","run_13",2.78824414110601
"Otu000180","run_13",2.99376505892172
"Otu000088","run_13",3.0340846188122
"Otu000025","run_13",2.94489970032008
"Otu000315","run_13",2.50006778035628
"Otu000167","run_13",2.40085689431344
"Otu000605","run_13",2.61819659838273
"Otu000196","run_13",2.43602226754468
"Otu000202","run_13",1.98680684306858
"Otu000348","run_13",2.05633389044996
"Otu000199","run_13",2.18161833630667
"Otu000140","run_13",2.07216675206547
"Otu002106","run_13",1.94922125141811
"Otu000654","run_13",1.74674094755122
"Otu000209","run_13",1.73139078859553
"Otu001307","run_13",2.23427112365638
"Otu000808","run_13",1.78776791028567
"Otu000061","run_14",4.31885896353679
"Otu000058","run_14",3.27655197742502
"Otu000006","run_14",4.20957981237532
"Otu000015","run_14",4.55529462979371
"Otu000005","run_14",3.55466831577151
"Otu000004","run_14",4.47148482772854
"Otu000037","run_14",3.3668892211716
"Otu000001","run_14",3.7590525120318
"Otu000014","run_14",3.39572336489337
"Otu000002","run_14",3.73471095717299
"Otu000009","run_14",3.2950590563022
"Otu000012","run_14",3.35876451745633
"Otu000018","run_14",3.39187303773404
"Otu000013","run_14",3.62913009457984
"Otu000041","run_14",3.30090873623626
"Otu000026","run_14",3.08122303903876
"Otu000036","run_14",3.12315013389713
"Otu000059","run_14",3.32286824761447
"Otu000003","run_14",3.35687021143082
"Otu000020","run_14",3.46174002638379
"Otu000010","run_14",3.47516660294626
"Otu000007","run_14",3.40108457692451
"Otu000085","run_14",2.86351244971384
"Otu000290","run_14",2.91348729579793
"Otu000040","run_14",3.17529238453697
"Otu000155","run_14",2.66204783627786
"Otu000021","run_14",2.9943625505013
"Otu000393","run_14",3.28027143528628
"Otu000634","run_14",2.07658383920955
"Otu000016","run_14",3.04968632483974
"Otu000109","run_14",3.25620724132999
"Otu000044","run_14",3.49144129900182
